id_customer,newsletter_optin,country,order_autonomy,number_order,number_ref_ordered,quantity_product_ordered
632,0,République Tchèque,1,7,19,201
639,0,France,1,10,19,366
646,0,Allemagne,1,1,5,25
647,0,France,1,8,3,66
650,0,Suisse,1,1,1,3
651,0,France,0,2,2,12
655,0,France,1,5,27,136
658,0,France,1,6,3,210
659,0,France,1,5,23,82
665,0,France,1,1,3,9
669,0,Pays-bas,1,4,10,55
673,0,France,1,1,1,12
676,0,France,1,1,1,2
687,0,Luxembourg,0,1,2,4
692,0,France,0,1,15,15
693,0,Belgique,0,1,2,12
696,1,France,1,18,62,492
696,1,Côte d'Ivoire,1,18,62,328
696,1,Allemagne,1,18,62,164
696,1,"Réunion, Île de la",1,18,62,164
696,1,Suède,1,18,62,164
697,0,Hongrie,1,11,27,560
701,1,Pays-bas,1,2,5,54
704,1,France,0,1,8,16
716,0,France,1,4,4,130
718,0,Côte d'Ivoire,1,1,12,36
718,0,France,1,1,12,36
749,1,France,0,1,14,56
794,0,France,0,1,1,2
803,1,France,1,2,3,12
901,0,Allemagne,1,4,10,96
903,0,France,1,4,7,18
906,0,France,0,1,1,2
908,0,France,1,6,50,304
910,1,France,0,2,8,20
912,0,Espagne,0,3,5,24
913,0,Belgique,1,2,1,4
914,0,France,1,2,1,9
915,0,France,1,1,1,2
916,0,France,1,6,21,135
921,0,France,1,6,8,26
923,0,France,0,1,4,8
925,1,Chypre,1,5,10,104
925,1,Grèce,1,5,10,52
926,0,Autriche,1,2,3,36
927,0,France,1,2,2,4
933,0,France,1,1,13,78
935,0,Martinique,1,2,6,62
937,1,Belgique,1,3,3,8
938,0,France,0,3,8,16
939,0,Luxembourg,1,4,1,11
939,0,Suisse,1,4,1,11
942,0,France,1,8,27,630
942,0,Suisse,1,8,27,315
944,0,Allemagne,1,5,7,352
944,0,Suisse,1,5,7,88
946,0,France,0,2,7,16
950,0,Luxembourg,1,4,2,17
950,0,Suisse,1,4,2,17
953,0,Belgique,1,3,21,117
954,1,Belgique,1,6,14,1071
955,0,France,1,2,6,111
956,0,France,1,4,11,90
959,0,France,1,1,1,2
961,0,France,1,3,3,14
968,0,Espagne,1,1,10,20
969,0,Espagne,1,1,1,3
971,0,France,1,4,1,8
976,0,France,1,1,3,15
977,0,Suisse,1,2,1,6
978,0,France,0,1,7,14
980,1,Roumanie,0,1,3,12
981,0,Slovénie,1,8,14,700
988,0,France,1,4,19,117
993,0,France,1,1,1,6
994,0,Suisse,1,1,4,15
995,0,Belgique,0,3,5,48
995,0,France,0,3,5,16
1003,0,France,1,3,6,124
1004,0,Belgique,1,4,8,138
1005,0,France,1,2,4,52
1008,0,Belgique,1,2,7,32
1010,0,France,1,6,4,240
1011,0,France,1,2,8,16
1012,0,France,1,1,2,10
1014,0,France,1,4,24,255
1016,0,France,1,1,1,2
1017,1,France,0,1,13,28
1023,0,France,1,1,1,2
1024,0,Slovénie,1,2,5,34
1026,0,Espagne,1,7,6,23
1029,0,France,1,4,6,51
1043,0,France,1,3,7,69
1045,0,France,1,3,7,63
1047,0,France,1,2,7,80
1048,0,France,1,3,7,84
1054,0,France,1,2,5,27
1058,0,Belgique,1,6,8,28
1059,0,France,1,1,1,2
1060,1,France,1,6,15,54
1066,0,France,1,1,7,48
1075,0,France,1,1,1,2
1076,0,France,1,3,25,79
1077,0,France,1,10,20,126
1084,1,Espagne,0,1,2,4
1086,0,France,0,3,3,12
1087,0,France,1,5,3,160
1088,0,France,0,2,15,32
1090,1,Belgique,1,8,6,62
1091,0,Hong-Kong,1,1,1,4
1092,1,Danemark,0,1,10,20
1100,0,France,1,5,12,90
1105,0,France,1,1,3,6
1106,0,Allemagne,1,1,3,15
1108,0,Suède,1,3,21,191
1110,1,Finlande,1,1,39,200
1111,1,République Tchèque,0,3,6,14
1114,0,Pays-bas,1,2,7,45
1121,0,Irlande,0,8,3,20
1123,0,Finlande,1,1,13,75
1130,0,France,1,1,2,6
1131,0,France,0,1,3,3
1134,0,France,1,2,4,12
1134,0,Lituanie,1,2,4,12
1137,0,France,0,1,6,24
1138,0,France,1,1,3,6
1139,0,France,1,1,2,18
1141,0,France,0,2,12,56
1141,0,Maroc,0,2,12,28
1142,0,France,1,3,4,10
1144,0,France,1,5,22,567
1147,0,France,1,3,6,29
1148,1,Finlande,1,1,7,35
1149,0,France,1,9,15,168
1151,0,Espagne,1,5,4,70
1154,0,France,0,2,3,8
1157,1,France,0,1,3,6
1158,0,France,1,1,1,2
1163,0,France,1,1,2,4
1170,0,France,1,4,6,31
1173,1,France,1,1,2,4
1174,0,France,1,3,12,28
1175,0,France,1,2,6,130
1175,0,Guadeloupe,1,2,6,65
1177,0,Italie,0,2,2,8
1179,0,France,1,2,1,5
1182,0,France,1,1,1,3
1183,0,Espagne,0,2,22,69
1185,0,France,1,1,2,4
1186,0,Suède,1,4,9,49
1188,0,France,0,2,4,10
1189,0,France,1,2,16,114
1190,0,France,0,1,2,4
1191,0,Belgique,1,1,2,10
1194,0,Belgique,1,4,11,192
1195,0,France,1,1,1,2
1196,0,Belgique,0,2,4,16
1196,0,France,0,2,4,8
1197,0,France,1,5,1,28
1199,0,France,1,2,4,13
1204,0,France,1,1,1,2
1205,0,France,1,1,2,4
1207,0,France,1,15,11,696
1208,0,Luxembourg,1,2,4,44
1210,0,Belgique,1,1,9,63
1212,0,France,1,4,5,108
1213,0,Suisse,0,1,4,8
1214,0,France,1,2,3,8
1216,0,France,1,1,1,5
1219,0,France,1,1,3,6
1220,0,France,0,1,3,6
1221,0,France,1,1,19,38
1225,0,Belgique,0,1,3,6
1226,0,France,1,1,1,2
1228,0,France,0,1,2,4
1229,0,France,1,1,3,6
1230,0,France,1,1,10,55
1231,0,France,1,2,1,8
1241,1,Grèce,1,3,23,600
1242,0,Suède,1,1,1,2
1247,0,Pays-bas,1,14,11,98
1252,0,France,0,2,1,4
1259,0,France,1,2,4,22
1260,0,France,0,1,1,2
1263,0,Allemagne,1,1,11,55
1268,1,Slovaquie,1,8,9,93
1272,0,France,1,2,2,14
1273,0,Suède,1,4,15,55
1279,1,Espagne,1,8,15,387
1280,1,Allemagne,1,3,9,120
1282,0,Pays-bas,1,1,1,4
1283,0,Royaume-Uni,1,4,4,9
1296,1,Autriche,1,3,9,41
1315,1,Allemagne,1,4,15,133
1330,1,Autriche,1,1,3,15
1348,1,Roumanie,1,4,7,140
1356,1,Croatie,1,1,3,42
1358,1,République Tchèque,1,6,6,305
1368,1,République Tchèque,1,11,12,336
1374,1,Autriche,1,4,10,90
1375,1,France,1,2,14,108
1375,1,Guadeloupe,1,2,14,108
1381,1,France,1,3,1,14
1391,1,Hongrie,1,9,48,1818
1397,1,Grèce,1,4,4,54
1399,0,Espagne,1,2,2,18
1400,0,France,0,2,6,12
1401,1,France,1,2,5,24
1404,1,Croatie,1,2,13,52
1405,0,Singapour,1,1,1,3
1409,0,Espagne,1,6,16,120
1416,1,France,0,1,2,4
1417,0,France,1,1,2,4
1420,0,Belgique,1,2,5,29
1422,0,France,1,1,2,4
1428,0,France,1,1,1,6
1430,0,France,1,2,21,137
1432,0,Belgique,1,1,4,20
1433,0,France,1,1,1,2
1435,0,France,1,2,3,14
1436,1,Espagne,1,6,5,49
1437,0,France,1,1,19,120
1439,0,France,1,5,40,121
1440,0,France,1,1,1,3
1441,0,France,1,1,1,2
1442,0,Espagne,1,1,3,6
1443,0,France,1,6,40,192
1444,0,France,1,1,5,10
1446,0,Belgique,1,5,5,31
1447,0,France,1,33,88,1692
1450,0,France,1,3,3,14
1454,0,Italie,1,1,1,2
1455,1,Suisse,1,5,25,136
1460,0,Italie,1,8,19,300
1465,0,France,1,1,1,2
1466,0,France,0,1,2,4
1467,1,Italie,0,1,2,4
1471,0,France,1,30,33,3425
1471,0,Belgique,1,30,33,274
1471,0,Suisse,1,30,33,274
1471,0,Bulgarie,1,30,33,137
1473,0,Allemagne,0,1,5,10
1475,0,Belgique,1,4,18,30
1476,0,Suisse,1,2,2,12
1476,0,France,1,2,2,6
1477,0,Belgique,1,3,13,34
1481,0,France,1,1,4,8
1485,0,Allemagne,0,1,2,8
1632,0,France,1,1,1,2
1634,0,France,1,1,9,18
1638,0,France,1,1,1,2
1640,0,France,1,3,7,65
1641,0,Portugal,0,2,2,6
1642,0,France,1,2,1,8
1647,0,Royaume-Uni,1,2,7,27
1648,0,Royaume-Uni,1,1,3,3
1649,0,France,1,5,2,38
1652,1,Allemagne,1,3,9,40
1654,0,France,1,1,1,2
1656,0,Allemagne,1,8,6,37
1657,0,France,1,1,1,2
1658,0,France,0,1,1,2
1661,0,Espagne,1,4,8,13
1664,0,Italie,1,2,5,68
1665,1,Nouvelle-Calédonie,1,1,15,60
1667,0,France,1,1,1,2
1668,0,Turquie,1,2,3,12
1669,0,Brésil,1,1,7,126
1671,0,France,0,2,3,6
1673,1,Espagne,1,1,3,30
1677,0,Suisse,1,1,1,2
1678,0,Équateur,1,1,1,6
1681,0,France,1,1,1,2
1684,0,France,1,2,2,8
1686,0,France,1,1,1,3
1690,0,Portugal,1,1,1,3
1693,0,Canada,1,5,5,10
1695,0,France,1,11,6,128
1697,0,France,1,4,4,96
1698,0,France,1,1,1,2
1701,0,Espagne,1,5,9,134
1702,1,France,1,2,7,45
1704,0,Espagne,1,2,2,4
1705,0,France,1,2,4,42
1710,0,France,1,2,7,42
1723,0,Allemagne,0,1,2,4
1724,0,France,1,3,5,54
1726,0,Chypre,0,1,7,7
1729,0,Autriche,1,5,7,41
1731,0,Allemagne,1,1,2,10
1734,1,France,1,2,2,6
1735,0,Hongrie,1,10,14,142
1736,1,Autriche,1,2,11,72
1738,0,Saint-Martin,1,2,5,10
1742,0,France,1,1,1,2
1743,0,France,1,1,1,2
1751,0,France,1,2,2,5
1755,0,France,1,3,9,36
1756,0,Espagne,1,8,7,424
1758,1,France,1,2,1,4
1761,1,République Tchèque,0,2,5,18
1763,0,France,0,1,1,2
1764,0,France,1,1,4,20
1765,0,Espagne,1,4,4,13
1767,0,France,1,1,1,2
1768,1,Espagne,0,1,11,24
1769,0,Pays-bas,0,2,6,32
1770,1,Allemagne,1,3,5,35
1771,0,France,0,1,4,8
1773,0,France,1,5,8,132
1781,0,Espagne,1,8,7,206
1782,1,Espagne,1,6,16,549
1785,0,France,0,1,1,2
1786,1,République Dominicaine,1,3,2,24
1786,1,France,1,3,2,12
1788,0,France,1,3,7,84
1789,0,Italie,1,1,5,25
1790,0,France,1,2,2,4
1795,0,France,0,1,2,4
1797,0,France,1,2,2,5
1799,0,France,1,1,1,2
1801,0,Belgique,1,1,3,15
1804,1,Belgique,1,4,13,34
1805,0,Belgique,1,1,1,3
1806,1,Belgique,1,1,6,30
1808,0,France,1,1,1,4
1810,0,France,0,1,1,2
1811,1,Pologne,1,5,17,204
1812,1,France,1,1,1,3
1814,0,France,1,3,6,14
1815,0,France,1,2,5,22
1818,0,Belgique,1,7,13,286
1819,0,France,1,2,3,19
1820,0,France,1,2,2,6
1821,0,France,1,3,2,5
1822,0,France,0,1,1,2
1824,0,France,1,1,2,20
1825,0,Slovaquie,0,1,5,20
1829,0,France,1,5,4,44
1831,0,France,1,1,3,6
1838,0,France,1,2,2,4
1839,0,France,1,1,3,15
1842,0,Belgique,1,8,2,74
1845,0,Espagne,1,2,20,292
1851,0,France,1,2,2,4
1852,0,Allemagne,1,1,1,4
1853,0,France,1,2,20,104
1857,1,France,1,1,1,3
1860,0,Slovaquie,1,1,4,96
1862,0,Hongrie,1,10,17,198
1863,0,France,1,1,2,10
1865,0,France,0,1,1,2
1871,0,France,1,1,10,20
1875,0,France,0,1,1,2
1882,0,Portugal,1,3,5,16
1886,0,France,1,5,5,72
1888,0,Taïwan,1,2,25,280
1893,0,Autriche,1,1,1,2
1894,0,Allemagne,1,3,4,19
1896,0,France,1,3,20,146
1897,1,Espagne,1,3,10,20
1898,0,France,1,2,1,4
1899,0,France,1,2,4,30
1909,0,Portugal,1,1,4,20
1910,0,France,1,6,5,192
1917,0,France,1,1,1,2
1920,1,Italie,1,1,25,50
1921,0,France,1,1,1,2
1922,0,France,1,1,1,2
1923,0,Italie,0,1,2,4
1927,0,France,1,2,7,25
1934,0,France,1,3,2,7
1937,0,France,1,1,1,2
1959,0,Espagne,0,1,1,4
1960,1,France,1,1,6,96
1963,0,Italie,1,1,6,30
1964,0,France,1,3,11,97
1965,0,France,0,1,1,1
1970,0,France,1,1,1,3
1973,0,Luxembourg,1,2,12,44
1975,0,France,1,86,27,17928
1976,1,Guadeloupe,1,2,23,209
1985,1,France,1,2,12,24
1993,0,Italie,1,1,10,20
1995,0,France,1,1,2,4
1997,0,Italie,0,1,3,6
2002,1,Espagne,1,6,2,78
2008,0,France,1,3,10,114
2009,1,Royaume-Uni,0,1,1,2
2010,0,Belgique,0,1,1,2
2017,0,Suisse,0,1,1,6
2018,0,Croatie,1,8,4,160
2021,0,France,0,1,4,8
2022,0,Allemagne,0,1,2,4
2024,0,France,0,2,3,8
2031,0,Croatie,1,3,10,90
2032,0,Suisse,1,1,2,4
2035,1,Slovaquie,1,3,23,186
2036,0,Espagne,1,1,4,8
2037,1,Suisse,1,3,13,53
2038,0,Pays-bas,1,1,1,2
2046,0,Nouvelle-Zélande,1,2,2,3
2047,0,Espagne,1,3,1,26
2049,0,France,0,2,1,4
2051,0,France,1,1,2,12
2052,1,France,0,1,1,2
2055,0,France,0,1,1,2
2062,0,France,0,1,8,48
2063,0,Croatie,1,4,6,84
2064,0,France,1,1,8,16
2065,1,Espagne,1,1,2,10
2067,0,Canada,1,4,1,17
2067,0,France,1,4,1,17
2070,0,France,0,1,3,6
2072,0,France,1,1,2,4
2075,0,France,1,2,3,9
2078,1,Portugal,1,2,5,10
2079,1,France,0,1,3,6
2082,0,Slovénie,0,1,7,14
2085,0,France,1,1,13,26
2086,1,France,1,2,7,18
2087,1,Royaume-Uni,1,1,3,18
2090,0,Allemagne,1,1,3,9
2091,0,France,1,2,42,100
2092,0,Suisse,1,1,1,1
2093,1,France,1,2,1,10
2096,0,France,1,3,5,100
2096,0,Espagne,1,3,5,50
2099,0,Italie,0,2,2,4
2103,1,France,1,1,33,363
2105,0,Japon,1,3,1,9
2107,1,Slovaquie,1,4,6,62
2113,1,Taïwan,1,1,3,6
2115,1,France,1,5,9,27
2116,1,Pays-bas,1,1,4,24
2117,0,France,1,1,2,4
2122,0,Allemagne,1,1,1,6
2122,0,France,1,1,1,2
2123,0,France,1,1,2,4
2128,0,Suède,1,3,5,17
2131,0,France,1,1,12,24
2134,0,France,1,1,2,6
2140,0,France,0,1,3,6
2142,0,France,1,1,1,2
2143,0,France,1,1,2,4
2144,1,Pays-bas,1,2,3,17
2145,0,France,1,1,4,20
2148,0,France,1,1,10,10
2153,1,Luxembourg,0,2,2,6
2155,0,France,0,1,1,2
2157,0,"Russie, Fédération de",1,1,3,6
2159,1,Slovénie,1,1,3,6
2161,0,France,1,2,12,188
2163,0,Belgique,1,1,1,4
2164,1,Espagne,0,2,4,12
2164,1,Portugal,0,2,4,12
2171,0,Autriche,1,1,10,20
2172,0,France,1,1,1,2
2175,0,France,1,1,7,35
2177,0,Italie,1,1,6,12
2178,0,France,1,1,15,30
2179,0,France,0,1,3,6
2181,1,République Tchèque,1,3,16,366
2183,0,France,1,4,8,142
2183,0,Turquie,1,4,8,71
2185,0,France,1,1,4,8
2187,1,Italie,0,1,7,14
2191,0,Hongrie,1,1,6,30
2193,0,Italie,1,1,11,132
2196,0,Belgique,0,1,1,2
2198,0,Belgique,0,1,1,2
